Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
 89        0.2634         0.7700        -0.0051       0.5543      1.0051     0.5543       79
 90        0.3786         0.7578        -0.0051       0.5543      1.0051     0.5543       79
 91        0.2795         0.6876        -0.0051       0.5543      1.0051     0.5543       79
 92        0.1817         0.8289        -0.0051       0.5543      1.0051     0.5543       79
 93        0.3741         0.6810        -0.0051       0.5543      1.0051     0.5543       79
 94        0.1614         0.7933        -0.0051       0.5543      1.0051     0.5543       79
 95        0.4215         0.7699        -0.0051       0.5543      1.0051     0.5543       79
 96        0.3403         0.8230        -0.0051       0.5543      1.0051     0.5543       79
 97        0.1631         0.6867        -0.0051       0.5543      1.0051     0.5543       79
 98        0.3890         0.7419        -0.0051       0.5543      1.0051     0.5543       79
 99        0.4964         0.8953        -0.0167       0.5503      1.0167     0.5503       99
100        0.4215         0.7211        -0.0167       0.5503      1.0167     0.5503       99
101        0.4510         0.7371        -0.0167       0.5503      1.0167     0.5503       99
102        0.5758         0.7976        -0.0167       0.5503      1.0167     0.5503       99
103        0.4554         0.8007        -0.0167       0.5503      1.0167     0.5503       99
104        0.3787         0.7587        -0.0167       0.5503      1.0167     0.5503       99
105        0.1607         0.6785        -0.0167       0.5503      1.0167     0.5503       99
106        0.4175         0.7628        -0.0167       0.5503      1.0167     0.5503       99
107        0.2227         0.7533        -0.0167       0.5503      1.0167     0.5503       99
108        0.0763         0.8253        -0.0167       0.5503      1.0167     0.5503       99
109        0.3957         0.8003        -0.0167       0.5503      1.0167     0.5503       99
110        0.4422         0.7605        -0.0167       0.5503      1.0167     0.5503       99
111        0.3952         0.7456        -0.0167       0.5503      1.0167     0.5503       99
112        0.4905         0.7242        -0.0167       0.5503      1.0167     0.5503       99
113        -0.0313         0.7066        -0.0167       0.5503      1.0167     0.5503       99
114        0.1282         0.7133        -0.0167       0.5503      1.0167     0.5503       99
115        0.3988         0.7682        -0.0167       0.5503      1.0167     0.5503       99
116        0.4559         0.7028        -0.0167       0.5503      1.0167     0.5503       99
117        0.1610         0.7201        -0.0167       0.5503      1.0167     0.5503       99
118        0.4553         0.7638        -0.0167       0.5503      1.0167     0.5503       99
119        0.2768         0.6886        -0.0303       0.5555      1.0303     0.5555       119
120        0.3308         0.7511        -0.0303       0.5555      1.0303     0.5555       119
121        0.4815         0.8172        -0.0303       0.5555      1.0303     0.5555       119
122        0.8893         0.8184        -0.0303       0.5555      1.0303     0.5555       119
123        0.4213         0.7231        -0.0303       0.5555      1.0303     0.5555       119
124        0.2217         0.7792        -0.0303       0.5555      1.0303     0.5555       119
125        0.2029         0.7418        -0.0303       0.5555      1.0303     0.5555       119
126        0.2698         0.7863        -0.0303       0.5555      1.0303     0.5555       119
127        0.6724         0.6965        -0.0303       0.5555      1.0303     0.5555       119
128        0.3230         0.7124        -0.0303       0.5555      1.0303     0.5555       119
129        0.2020         0.6961        -0.0303       0.5555      1.0303     0.5555       119
130        0.3523         0.6943        -0.0303       0.5555      1.0303     0.5555       119
131        0.3266         0.8838        -0.0303       0.5555      1.0303     0.5555       119
132        0.2504         0.7501        -0.0303       0.5555      1.0303     0.5555       119
133        0.4003         0.7097        -0.0303       0.5555      1.0303     0.5555       119
134        0.1037         0.8248        -0.0303       0.5555      1.0303     0.5555       119
135        -0.0724         0.6941        -0.0303       0.5555      1.0303     0.5555       119
136        0.4523         0.6862        -0.0303       0.5555      1.0303     0.5555       119
137        0.2117         0.8124        -0.0303       0.5555      1.0303     0.5555       119
138        0.4086         0.7892        -0.0303       0.5555      1.0303     0.5555       119
139        0.2079         0.7574        -0.0262       0.5594      1.0262     0.5594       119
140        0.4528         0.6396        -0.0262       0.5594      1.0262     0.5594       119
141        0.0394         0.7018        -0.0262       0.5594      1.0262     0.5594       119
142        0.3564         0.8419        -0.0262       0.5594      1.0262     0.5594       119
143        0.3018         0.7445        -0.0262       0.5594      1.0262     0.5594       119
144        0.2056         0.7564        -0.0262       0.5594      1.0262     0.5594       119
145        0.1203         0.8110        -0.0262       0.5594      1.0262     0.5594       119
146        0.5982         0.7535        -0.0262       0.5594      1.0262     0.5594       119
147        0.2241         0.8295        -0.0262       0.5594      1.0262     0.5594       119
148        0.2242         0.7627        -0.0262       0.5594      1.0262     0.5594       119
149        0.4219         0.7304        -0.0262       0.5594      1.0262     0.5594       119
150        0.3290         0.7899        -0.0262       0.5594      1.0262     0.5594       119
151        0.1699         0.6200        -0.0262       0.5594      1.0262     0.5594       119
152        0.5251         0.7702        -0.0262       0.5594      1.0262     0.5594       119
153        0.4467         0.7237        -0.0262       0.5594      1.0262     0.5594       119
154        0.0628         0.7510        -0.0262       0.5594      1.0262     0.5594       119
155        0.2610         0.8121        -0.0262       0.5594      1.0262     0.5594       119
156        0.4860         0.7207        -0.0262       0.5594      1.0262     0.5594       119
157        0.4114         0.7953        -0.0262       0.5594      1.0262     0.5594       119
158        0.4210         0.8070        -0.0262       0.5594      1.0262     0.5594       119
159        0.3790         0.7571        -0.0222       0.5602      1.0222     0.5602       119
160        0.3872         0.7593        -0.0222       0.5602      1.0222     0.5602       119
161        0.3360         0.7857        -0.0222       0.5602      1.0222     0.5602       119
162        0.5044         0.7149        -0.0222       0.5602      1.0222     0.5602       119
163        0.3938         0.6722        -0.0222       0.5602      1.0222     0.5602       119
164        0.0166         0.7960        -0.0222       0.5602      1.0222     0.5602       119
165        0.5155         0.8010        -0.0222       0.5602      1.0222     0.5602       119
