Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
  0        0.8378         0.4870        0.0000       1.0000      0.0000     1.0000       0
  1        0.6857         0.5039        0.0000       1.0000      0.0000     1.0000       0
  2        0.8269         0.5467        0.0000       1.0000      0.0000     1.0000       0
  3        0.6637         0.6060        0.0000       1.0000      0.0000     1.0000       0
  4        0.5193         0.5950        0.0000       1.0000      0.0000     1.0000       0
  5        0.3801         0.5568        0.0000       1.0000      0.0000     1.0000       0
  6        0.5173         0.6040        0.0000       1.0000      0.0000     1.0000       0
  7        0.7040         0.5427        0.0000       1.0000      0.0000     1.0000       0
  8        0.5807         0.5782        0.0000       1.0000      0.0000     1.0000       0
  9        0.3722         0.6871        0.0000       1.0000      0.0000     1.0000       0
 10        0.3358         0.5483        0.0000       1.0000      0.0000     1.0000       0
 11        0.3813         0.6807        0.0000       1.0000      0.0000     1.0000       0
 12        0.6217         0.6607        0.0000       1.0000      0.0000     1.0000       0
 13        0.3616         0.5603        0.0000       1.0000      0.0000     1.0000       0
 14        0.5904         0.5694        0.0000       1.0000      0.0000     1.0000       0
 15        0.5518         0.6250        0.0000       1.0000      0.0000     1.0000       0
 16        0.6209         0.6262        0.0000       1.0000      0.0000     1.0000       0
 17        0.4017         0.5731        0.0000       1.0000      0.0000     1.0000       0
 18        0.3234         0.5665        0.0000       1.0000      0.0000     1.0000       0
 19        0.6007         0.6245        0.4412       0.3758      0.5588     0.3758       19
 20        0.7450         0.7245        0.4412       0.3758      0.5588     0.3758       19
 21        0.2898         0.6637        0.4412       0.3758      0.5588     0.3758       19
 22        0.1892         0.6102        0.4412       0.3758      0.5588     0.3758       19
 23        0.6340         0.6317        0.4412       0.3758      0.5588     0.3758       19
 24        0.3415         0.6176        0.4412       0.3758      0.5588     0.3758       19
 25        0.4304         0.6703        0.4412       0.3758      0.5588     0.3758       19
 26        0.2619         0.6102        0.4412       0.3758      0.5588     0.3758       19
 27        0.6007         0.5498        0.4412       0.3758      0.5588     0.3758       19
 28        0.3894         0.6904        0.4412       0.3758      0.5588     0.3758       19
 29        0.4109         0.7106        0.4412       0.3758      0.5588     0.3758       19
 30        0.0789         0.6855        0.4412       0.3758      0.5588     0.3758       19
 31        0.2892         0.6450        0.4412       0.3758      0.5588     0.3758       19
 32        0.3775         0.6974        0.4412       0.3758      0.5588     0.3758       19
 33        0.5140         0.6806        0.4412       0.3758      0.5588     0.3758       19
 34        0.3753         0.6103        0.4412       0.3758      0.5588     0.3758       19
