Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
  0        0.7781         0.4384        0.0000       1.0000      0.0000     1.0000       0
  1        0.7812         0.5324        0.0000       1.0000      0.0000     1.0000       0
  2        0.8177         0.5305        0.0000       1.0000      0.0000     1.0000       0
  3        0.5515         0.5821        0.0000       1.0000      0.0000     1.0000       0
  4        0.5650         0.5679        0.0000       1.0000      0.0000     1.0000       0
  5        0.5241         0.5789        0.0000       1.0000      0.0000     1.0000       0
  6        0.4156         0.7021        0.0000       1.0000      0.0000     1.0000       0
  7        0.5299         0.6431        0.0000       1.0000      0.0000     1.0000       0
  8        0.4684         0.6661        0.0000       1.0000      0.0000     1.0000       0
  9        0.5759         0.6273        0.0000       1.0000      0.0000     1.0000       0
 10        0.4519         0.6524        0.0000       1.0000      0.0000     1.0000       0
 11        0.4798         0.5336        0.0000       1.0000      0.0000     1.0000       0
 12        0.7122         0.6695        0.0000       1.0000      0.0000     1.0000       0
 13        0.4403         0.6523        0.0000       1.0000      0.0000     1.0000       0
 14        0.2311         0.6055        0.0000       1.0000      0.0000     1.0000       0
 15        0.2773         0.7341        0.0000       1.0000      0.0000     1.0000       0
 16        0.3121         0.8210        0.0000       1.0000      0.0000     1.0000       0
 17        0.6320         0.6565        0.0000       1.0000      0.0000     1.0000       0
 18        0.4429         0.6432        0.0000       1.0000      0.0000     1.0000       0
 19        0.1492         0.7353        0.0389       0.5735      0.9611     0.5735       19
 20        0.4440         0.6355        0.0389       0.5735      0.9611     0.5735       19
 21        0.4053         0.7171        0.0389       0.5735      0.9611     0.5735       19
 22        0.2468         0.6647        0.0389       0.5735      0.9611     0.5735       19
 23        0.4390         0.5632        0.0389       0.5735      0.9611     0.5735       19
 24        0.3388         0.6337        0.0389       0.5735      0.9611     0.5735       19
 25        0.3003         0.6684        0.0389       0.5735      0.9611     0.5735       19
 26        0.4026         0.6362        0.0389       0.5735      0.9611     0.5735       19
 27        0.6077         0.6431        0.0389       0.5735      0.9611     0.5735       19
 28        0.3046         0.6217        0.0389       0.5735      0.9611     0.5735       19
 29        0.6586         0.6817        0.0389       0.5735      0.9611     0.5735       19
 30        0.7016         0.6367        0.0389       0.5735      0.9611     0.5735       19
 31        0.3780         0.7502        0.0389       0.5735      0.9611     0.5735       19
 32        0.3908         0.6321        0.0389       0.5735      0.9611     0.5735       19
 33        0.2318         0.6441        0.0389       0.5735      0.9611     0.5735       19
 34        0.4980         0.6391        0.0389       0.5735      0.9611     0.5735       19
 35        0.4392         0.5781        0.0389       0.5735      0.9611     0.5735       19
 36        0.3161         0.7268        0.0389       0.5735      0.9611     0.5735       19
 37        0.5010         0.7677        0.0389       0.5735      0.9611     0.5735       19
 38        0.4245         0.7275        0.0389       0.5735      0.9611     0.5735       19
 39        0.4448         0.6456        0.0303       0.5407      0.9697     0.5407       39
 40        0.3024         0.7502        0.0303       0.5407      0.9697     0.5407       39
 41        0.2785         0.7809        0.0303       0.5407      0.9697     0.5407       39
 42        0.3183         0.6983        0.0303       0.5407      0.9697     0.5407       39
 43        0.4070         0.6537        0.0303       0.5407      0.9697     0.5407       39
 44        0.5442         0.5911        0.0303       0.5407      0.9697     0.5407       39
 45        0.1590         0.6631        0.0303       0.5407      0.9697     0.5407       39
 46        0.2407         0.7939        0.0303       0.5407      0.9697     0.5407       39
 47        0.1721         0.6647        0.0303       0.5407      0.9697     0.5407       39
 48        0.1792         0.6564        0.0303       0.5407      0.9697     0.5407       39
 49        0.3651         0.7100        0.0303       0.5407      0.9697     0.5407       39
 50        0.3003         0.6576        0.0303       0.5407      0.9697     0.5407       39
 51        0.6097         0.5822        0.0303       0.5407      0.9697     0.5407       39
 52        0.3723         0.7383        0.0303       0.5407      0.9697     0.5407       39
 53        0.4693         0.6745        0.0303       0.5407      0.9697     0.5407       39
 54        0.2744         0.8241        0.0303       0.5407      0.9697     0.5407       39
 55        0.3576         0.7219        0.0303       0.5407      0.9697     0.5407       39
 56        0.1707         0.6874        0.0303       0.5407      0.9697     0.5407       39
 57        0.5241         0.6724        0.0303       0.5407      0.9697     0.5407       39
 58        0.1654         0.6856        0.0303       0.5407      0.9697     0.5407       39
 59        0.4237         0.6719        -0.0170       0.5673      1.0170     0.5673       59
 60        0.3319         0.6401        -0.0170       0.5673      1.0170     0.5673       59
 61        0.1494         0.5893        -0.0170       0.5673      1.0170     0.5673       59
 62        0.2078         0.7102        -0.0170       0.5673      1.0170     0.5673       59
 63        0.4653         0.6716        -0.0170       0.5673      1.0170     0.5673       59
 64        0.3476         0.6902        -0.0170       0.5673      1.0170     0.5673       59
 65        0.4553         0.6722        -0.0170       0.5673      1.0170     0.5673       59
 66        0.4177         0.6900        -0.0170       0.5673      1.0170     0.5673       59
 67        0.3568         0.6426        -0.0170       0.5673      1.0170     0.5673       59
 68        0.4852         0.7133        -0.0170       0.5673      1.0170     0.5673       59
 69        0.2749         0.6896        -0.0170       0.5673      1.0170     0.5673       59
 70        0.4239         0.6461        -0.0170       0.5673      1.0170     0.5673       59
 71        0.4666         0.7362        -0.0170       0.5673      1.0170     0.5673       59
 72        0.3130         0.6899        -0.0170       0.5673      1.0170     0.5673       59
 73        0.2441         0.6927        -0.0170       0.5673      1.0170     0.5673       59
 74        0.4398         0.7210        -0.0170       0.5673      1.0170     0.5673       59
 75        0.2600         0.7208        -0.0170       0.5673      1.0170     0.5673       59
 76        0.1396         0.6636        -0.0170       0.5673      1.0170     0.5673       59
 77        0.3776         0.6796        -0.0170       0.5673      1.0170     0.5673       59
 78        0.2509         0.7107        -0.0170       0.5673      1.0170     0.5673       59
 79        0.2790         0.6429        -0.0045       0.5546      1.0045     0.5546       59
 80        0.1130         0.6846        -0.0045       0.5546      1.0045     0.5546       59
 81        0.4389         0.5986        -0.0045       0.5546      1.0045     0.5546       59
 82        0.5058         0.7477        -0.0045       0.5546      1.0045     0.5546       59
 83        0.2921         0.6917        -0.0045       0.5546      1.0045     0.5546       59
 84        0.2653         0.7665        -0.0045       0.5546      1.0045     0.5546       59
 85        0.0957         0.6968        -0.0045       0.5546      1.0045     0.5546       59
 86        0.3246         0.6722        -0.0045       0.5546      1.0045     0.5546       59
 87        0.2377         0.7271        -0.0045       0.5546      1.0045     0.5546       59
 88        0.3158         0.6273        -0.0045       0.5546      1.0045     0.5546       59
 89        0.1280         0.6002        -0.0045       0.5546      1.0045     0.5546       59
 90        0.5130         0.6520        -0.0045       0.5546      1.0045     0.5546       59
 91        0.4408         0.7374        -0.0045       0.5546      1.0045     0.5546       59
 92        0.1693         0.6646        -0.0045       0.5546      1.0045     0.5546       59
 93        0.2880         0.6648        -0.0045       0.5546      1.0045     0.5546       59
 94        0.6570         0.5311        -0.0045       0.5546      1.0045     0.5546       59
 95        0.3595         0.7056        -0.0045       0.5546      1.0045     0.5546       59
 96        0.3620         0.6049        -0.0045       0.5546      1.0045     0.5546       59
 97        0.0323         0.6680        -0.0045       0.5546      1.0045     0.5546       59
 98        0.2235         0.6825        -0.0045       0.5546      1.0045     0.5546       59
 99        0.3614         0.6841        0.0196       0.5470      0.9804     0.5470       59
100        0.4150         0.6170        0.0196       0.5470      0.9804     0.5470       59
101        0.1518         0.7099        0.0196       0.5470      0.9804     0.5470       59
102        0.3891         0.7187        0.0196       0.5470      0.9804     0.5470       59
103        0.5537         0.6785        0.0196       0.5470      0.9804     0.5470       59
104        0.4465         0.6830        0.0196       0.5470      0.9804     0.5470       59
105        0.5408         0.6644        0.0196       0.5470      0.9804     0.5470       59
106        0.4527         0.6558        0.0196       0.5470      0.9804     0.5470       59
107        0.4561         0.5319        0.0196       0.5470      0.9804     0.5470       59
108        0.2959         0.7522        0.0196       0.5470      0.9804     0.5470       59
109        0.6494         0.6122        0.0196       0.5470      0.9804     0.5470       59
110        0.3828         0.7459        0.0196       0.5470      0.9804     0.5470       59
111        0.2568         0.5731        0.0196       0.5470      0.9804     0.5470       59
112        0.3068         0.6592        0.0196       0.5470      0.9804     0.5470       59
113        0.3276         0.5683        0.0196       0.5470      0.9804     0.5470       59
114        0.4247         0.6999        0.0196       0.5470      0.9804     0.5470       59
115        0.1347         0.6533        0.0196       0.5470      0.9804     0.5470       59
116        0.1435         0.7156        0.0196       0.5470      0.9804     0.5470       59
117        0.2362         0.6854        0.0196       0.5470      0.9804     0.5470       59
118        0.2476         0.7457        0.0196       0.5470      0.9804     0.5470       59
119        0.5147         0.7201        -0.0066       0.5510      1.0066     0.5510       59
120        0.2549         0.6916        -0.0066       0.5510      1.0066     0.5510       59
121        0.2129         0.6195        -0.0066       0.5510      1.0066     0.5510       59
122        0.4736         0.6891        -0.0066       0.5510      1.0066     0.5510       59
123        0.1327         0.7308        -0.0066       0.5510      1.0066     0.5510       59
124        0.2681         0.7349        -0.0066       0.5510      1.0066     0.5510       59
125        0.2737         0.6460        -0.0066       0.5510      1.0066     0.5510       59
126        0.1818         0.6255        -0.0066       0.5510      1.0066     0.5510       59
127        0.4448         0.6738        -0.0066       0.5510      1.0066     0.5510       59
128        0.2030         0.7113        -0.0066       0.5510      1.0066     0.5510       59
129        0.2061         0.7281        -0.0066       0.5510      1.0066     0.5510       59
130        0.1647         0.8010        -0.0066       0.5510      1.0066     0.5510       59
131        0.2592         0.6890        -0.0066       0.5510      1.0066     0.5510       59
132        0.3134         0.7044        -0.0066       0.5510      1.0066     0.5510       59
133        0.5106         0.7053        -0.0066       0.5510      1.0066     0.5510       59
134        0.2512         0.6651        -0.0066       0.5510      1.0066     0.5510       59
135        0.3907         0.6499        -0.0066       0.5510      1.0066     0.5510       59
136        0.1342         0.6295        -0.0066       0.5510      1.0066     0.5510       59
137        0.4764         0.7354        -0.0066       0.5510      1.0066     0.5510       59
138        0.5125         0.6287        -0.0066       0.5510      1.0066     0.5510       59
139        0.4123         0.6904        -0.0472       0.5595      1.0472     0.5595       139
140        0.3806         0.6271        -0.0472       0.5595      1.0472     0.5595       139
141        0.3049         0.7164        -0.0472       0.5595      1.0472     0.5595       139
142        0.4841         0.7859        -0.0472       0.5595      1.0472     0.5595       139
143        0.3894         0.7375        -0.0472       0.5595      1.0472     0.5595       139
144        0.1870         0.6756        -0.0472       0.5595      1.0472     0.5595       139
145        0.1967         0.6725        -0.0472       0.5595      1.0472     0.5595       139
146        0.3758         0.6766        -0.0472       0.5595      1.0472     0.5595       139
147        0.1758         0.7587        -0.0472       0.5595      1.0472     0.5595       139
148        0.3372         0.7126        -0.0472       0.5595      1.0472     0.5595       139
149        0.3262         0.7794        -0.0472       0.5595      1.0472     0.5595       139
150        0.3259         0.8605        -0.0472       0.5595      1.0472     0.5595       139
151        0.4525         0.5377        -0.0472       0.5595      1.0472     0.5595       139
152        0.3203         0.7745        -0.0472       0.5595      1.0472     0.5595       139
153        0.5186         0.7113        -0.0472       0.5595      1.0472     0.5595       139
154        0.3869         0.7411        -0.0472       0.5595      1.0472     0.5595       139
155        0.2421         0.7013        -0.0472       0.5595      1.0472     0.5595       139
156        0.6041         0.8075        -0.0472       0.5595      1.0472     0.5595       139
157        0.2307         0.6503        -0.0472       0.5595      1.0472     0.5595       139
158        0.4400         0.6664        -0.0472       0.5595      1.0472     0.5595       139
159        0.2140         0.6931        -0.0073       0.5459      1.0073     0.5459       139
160        0.2774         0.7987        -0.0073       0.5459      1.0073     0.5459       139
161        0.2612         0.7540        -0.0073       0.5459      1.0073     0.5459       139
162        0.2363         0.6787        -0.0073       0.5459      1.0073     0.5459       139
163        0.2415         0.6855        -0.0073       0.5459      1.0073     0.5459       139
164        0.0741         0.6608        -0.0073       0.5459      1.0073     0.5459       139
165        0.1679         0.6849        -0.0073       0.5459      1.0073     0.5459       139
166        0.0419         0.7959        -0.0073       0.5459      1.0073     0.5459       139
167        0.4011         0.6848        -0.0073       0.5459      1.0073     0.5459       139
168        0.2736         0.7333        -0.0073       0.5459      1.0073     0.5459       139
169        0.0763         0.6858        -0.0073       0.5459      1.0073     0.5459       139
170        0.3764         0.6838        -0.0073       0.5459      1.0073     0.5459       139
171        0.0031         0.7453        -0.0073       0.5459      1.0073     0.5459       139
172        0.4739         0.7368        -0.0073       0.5459      1.0073     0.5459       139
173        0.6503         0.7202        -0.0073       0.5459      1.0073     0.5459       139
174        0.3846         0.6851        -0.0073       0.5459      1.0073     0.5459       139
175        0.2147         0.7037        -0.0073       0.5459      1.0073     0.5459       139
176        0.3388         0.6483        -0.0073       0.5459      1.0073     0.5459       139
177        0.4015         0.6053        -0.0073       0.5459      1.0073     0.5459       139
178        0.2541         0.6776        -0.0073       0.5459      1.0073     0.5459       139
179        0.3420         0.6950        -0.0311       0.5521      1.0311     0.5521       139
180        0.2905         0.7961        -0.0311       0.5521      1.0311     0.5521       139
181        0.2902         0.7001        -0.0311       0.5521      1.0311     0.5521       139
182        0.3010         0.6705        -0.0311       0.5521      1.0311     0.5521       139
183        0.2287         0.6702        -0.0311       0.5521      1.0311     0.5521       139
184        0.1543         0.7225        -0.0311       0.5521      1.0311     0.5521       139
185        -0.0063         0.6593        -0.0311       0.5521      1.0311     0.5521       139
186        0.3445         0.6205        -0.0311       0.5521      1.0311     0.5521       139
187        0.2337         0.7260        -0.0311       0.5521      1.0311     0.5521       139
188        0.1125         0.6570        -0.0311       0.5521      1.0311     0.5521       139
189        0.2673         0.7054        -0.0311       0.5521      1.0311     0.5521       139
190        0.0202         0.7684        -0.0311       0.5521      1.0311     0.5521       139
191        0.2118         0.7434        -0.0311       0.5521      1.0311     0.5521       139
192        0.4318         0.7321        -0.0311       0.5521      1.0311     0.5521       139
193        0.3062         0.7707        -0.0311       0.5521      1.0311     0.5521       139
194        0.1133         0.6736        -0.0311       0.5521      1.0311     0.5521       139
195        0.1449         0.7082        -0.0311       0.5521      1.0311     0.5521       139
196        0.3699         0.5615        -0.0311       0.5521      1.0311     0.5521       139
197        0.3094         0.8112        -0.0311       0.5521      1.0311     0.5521       139
