Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
  0        0.6435         0.5887        0.0000       1.0000      0.0000     1.0000       0
  1        0.9541         0.5301        0.0000       1.0000      0.0000     1.0000       0
  2        0.7117         0.6583        0.0000       1.0000      0.0000     1.0000       0
  3        0.9347         0.5547        0.0000       1.0000      0.0000     1.0000       0
  4        0.7147         0.6213        0.0000       1.0000      0.0000     1.0000       0
  5        0.8450         0.6403        0.0000       1.0000      0.0000     1.0000       0
  6        0.4263         0.5905        0.0000       1.0000      0.0000     1.0000       0
  7        0.5871         0.6661        0.0000       1.0000      0.0000     1.0000       0
  8        0.5000         0.5930        0.0000       1.0000      0.0000     1.0000       0
  9        0.5392         0.6650        0.0000       1.0000      0.0000     1.0000       0
 10        0.5158         0.6033        0.0000       1.0000      0.0000     1.0000       0
 11        0.2271         0.6141        0.0000       1.0000      0.0000     1.0000       0
 12        0.4731         0.7266        0.0000       1.0000      0.0000     1.0000       0
 13        0.4150         0.6918        0.0000       1.0000      0.0000     1.0000       0
 14        0.2730         0.6913        0.0000       1.0000      0.0000     1.0000       0
 15        0.3605         0.7712        0.0000       1.0000      0.0000     1.0000       0
 16        0.5302         0.7405        0.0000       1.0000      0.0000     1.0000       0
 17        0.6050         0.6934        0.0000       1.0000      0.0000     1.0000       0
 18        0.5332         0.7464        0.0000       1.0000      0.0000     1.0000       0
 19        0.3413         0.6953        0.0158       0.6326      0.9842     0.6326       19
 20        0.3873         0.6428        0.0158       0.6326      0.9842     0.6326       19
 21        0.3445         0.6817        0.0158       0.6326      0.9842     0.6326       19
 22        0.5425         0.6867        0.0158       0.6326      0.9842     0.6326       19
 23        0.7234         0.7544        0.0158       0.6326      0.9842     0.6326       19
 24        0.4018         0.6175        0.0158       0.6326      0.9842     0.6326       19
 25        0.6717         0.7214        0.0158       0.6326      0.9842     0.6326       19
 26        0.4788         0.7017        0.0158       0.6326      0.9842     0.6326       19
 27        0.4829         0.8882        0.0158       0.6326      0.9842     0.6326       19
 28        0.5005         0.6830        0.0158       0.6326      0.9842     0.6326       19
 29        0.4129         0.6830        0.0158       0.6326      0.9842     0.6326       19
 30        0.6670         0.6278        0.0158       0.6326      0.9842     0.6326       19
 31        0.3948         0.7743        0.0158       0.6326      0.9842     0.6326       19
 32        0.4656         0.6935        0.0158       0.6326      0.9842     0.6326       19
 33        0.6269         0.6861        0.0158       0.6326      0.9842     0.6326       19
