Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
  0        0.7599         0.5166        0.0000       1.0000      0.0000     1.0000       0
  1        0.6704         0.4066        0.0000       1.0000      0.0000     1.0000       0
  2        0.5366         0.4787        0.0000       1.0000      0.0000     1.0000       0
  3        0.5352         0.5213        0.0000       1.0000      0.0000     1.0000       0
  4        0.7784         0.5901        0.0000       1.0000      0.0000     1.0000       0
  5        0.5296         0.5489        0.0000       1.0000      0.0000     1.0000       0
  6        0.5223         0.5080        0.0000       1.0000      0.0000     1.0000       0
  7        0.3673         0.5536        0.0000       1.0000      0.0000     1.0000       0
  8        0.4290         0.4089        0.0000       1.0000      0.0000     1.0000       0
  9        0.3131         0.5615        0.0000       1.0000      0.0000     1.0000       0
 10        0.5593         0.4513        0.0000       1.0000      0.0000     1.0000       0
 11        0.2728         0.4908        0.0000       1.0000      0.0000     1.0000       0
 12        0.5035         0.6056        0.0000       1.0000      0.0000     1.0000       0
 13        0.5284         0.5991        0.0000       1.0000      0.0000     1.0000       0
 14        0.5516         0.5676        0.0000       1.0000      0.0000     1.0000       0
 15        0.4980         0.5037        0.0000       1.0000      0.0000     1.0000       0
 16        0.4968         0.4303        0.0000       1.0000      0.0000     1.0000       0
 17        0.5948         0.5598        0.0000       1.0000      0.0000     1.0000       0
 18        0.2702         0.5232        0.0000       1.0000      0.0000     1.0000       0
 19        -0.0085         0.5641        -0.0259       0.5921      1.0259     0.5921       19
 20        0.4660         0.5501        -0.0259       0.5921      1.0259     0.5921       19
 21        0.3952         0.4847        -0.0259       0.5921      1.0259     0.5921       19
 22        0.2003         0.5091        -0.0259       0.5921      1.0259     0.5921       19
 23        0.2970         0.5057        -0.0259       0.5921      1.0259     0.5921       19
 24        0.1580         0.5749        -0.0259       0.5921      1.0259     0.5921       19
 25        0.1050         0.5914        -0.0259       0.5921      1.0259     0.5921       19
 26        0.3467         0.6254        -0.0259       0.5921      1.0259     0.5921       19
 27        0.4251         0.6407        -0.0259       0.5921      1.0259     0.5921       19
 28        0.1831         0.5515        -0.0259       0.5921      1.0259     0.5921       19
 29        0.1865         0.6348        -0.0259       0.5921      1.0259     0.5921       19
 30        -0.0303         0.6059        -0.0259       0.5921      1.0259     0.5921       19
 31        0.2773         0.5338        -0.0259       0.5921      1.0259     0.5921       19
 32        0.0838         0.4881        -0.0259       0.5921      1.0259     0.5921       19
 33        0.4087         0.5427        -0.0259       0.5921      1.0259     0.5921       19
 34        0.2886         0.5551        -0.0259       0.5921      1.0259     0.5921       19
 35        0.4626         0.5807        -0.0259       0.5921      1.0259     0.5921       19
 36        0.5046         0.4361        -0.0259       0.5921      1.0259     0.5921       19
 37        0.1826         0.5391        -0.0259       0.5921      1.0259     0.5921       19
 38        0.2934         0.5842        -0.0259       0.5921      1.0259     0.5921       19
 39        0.1485         0.5836        -0.0529       0.6183      1.0529     0.6183       39
 40        0.4374         0.6284        -0.0529       0.6183      1.0529     0.6183       39
 41        0.1141         0.6154        -0.0529       0.6183      1.0529     0.6183       39
 42        0.1553         0.7066        -0.0529       0.6183      1.0529     0.6183       39
 43        0.2258         0.5575        -0.0529       0.6183      1.0529     0.6183       39
 44        0.3869         0.5343        -0.0529       0.6183      1.0529     0.6183       39
 45        -0.0278         0.5408        -0.0529       0.6183      1.0529     0.6183       39
 46        0.2919         0.4916        -0.0529       0.6183      1.0529     0.6183       39
 47        0.3281         0.5009        -0.0529       0.6183      1.0529     0.6183       39
 48        0.3529         0.5787        -0.0529       0.6183      1.0529     0.6183       39
 49        0.1566         0.6169        -0.0529       0.6183      1.0529     0.6183       39
 50        -0.1883         0.5299        -0.0529       0.6183      1.0529     0.6183       39
 51        0.1529         0.5528        -0.0529       0.6183      1.0529     0.6183       39
 52        0.1430         0.4971        -0.0529       0.6183      1.0529     0.6183       39
 53        0.0820         0.6205        -0.0529       0.6183      1.0529     0.6183       39
 54        0.3310         0.5468        -0.0529       0.6183      1.0529     0.6183       39
 55        0.3146         0.4803        -0.0529       0.6183      1.0529     0.6183       39
 56        0.2003         0.5245        -0.0529       0.6183      1.0529     0.6183       39
 57        0.4768         0.5577        -0.0529       0.6183      1.0529     0.6183       39
 58        -0.0720         0.5555        -0.0529       0.6183      1.0529     0.6183       39
 59        0.2782         0.5697        -0.0859       0.6082      1.0859     0.6082       59
 60        0.1646         0.6293        -0.0859       0.6082      1.0859     0.6082       59
 61        0.4402         0.5123        -0.0859       0.6082      1.0859     0.6082       59
 62        0.1981         0.5183        -0.0859       0.6082      1.0859     0.6082       59
 63        0.4304         0.5218        -0.0859       0.6082      1.0859     0.6082       59
 64        0.2813         0.5301        -0.0859       0.6082      1.0859     0.6082       59
 65        0.4317         0.5627        -0.0859       0.6082      1.0859     0.6082       59
 66        0.5002         0.5595        -0.0859       0.6082      1.0859     0.6082       59
 67        0.3010         0.5435        -0.0859       0.6082      1.0859     0.6082       59
 68        0.5868         0.5723        -0.0859       0.6082      1.0859     0.6082       59
 69        0.3654         0.5726        -0.0859       0.6082      1.0859     0.6082       59
 70        0.4271         0.5757        -0.0859       0.6082      1.0859     0.6082       59
 71        0.3365         0.5954        -0.0859       0.6082      1.0859     0.6082       59
 72        -0.0618         0.5953        -0.0859       0.6082      1.0859     0.6082       59
 73        0.2998         0.6598        -0.0859       0.6082      1.0859     0.6082       59
 74        0.6250         0.6242        -0.0859       0.6082      1.0859     0.6082       59
 75        0.0434         0.5959        -0.0859       0.6082      1.0859     0.6082       59
 76        0.3207         0.5921        -0.0859       0.6082      1.0859     0.6082       59
 77        0.2307         0.5508        -0.0859       0.6082      1.0859     0.6082       59
 78        0.0222         0.6264        -0.0859       0.6082      1.0859     0.6082       59
 79        0.2315         0.5565        -0.0762       0.5991      1.0762     0.5991       59
 80        -0.0108         0.6638        -0.0762       0.5991      1.0762     0.5991       59
 81        0.3338         0.5467        -0.0762       0.5991      1.0762     0.5991       59
 82        0.1379         0.5795        -0.0762       0.5991      1.0762     0.5991       59
 83        0.2622         0.5711        -0.0762       0.5991      1.0762     0.5991       59
